|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.02 |     4.552 |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.13 |     4.552 |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.19 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.64 |     4.552 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.11 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.08 |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.14 |     4.427 |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.57 |     4.552 |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.06 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.23 |     4.552 |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.19 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.02 |     4.552 |
